name,package,extends,abstract,backend,tags,label,description,description-en,label-en,description-nl,label-nl,description-pt,label-pt,description-es,label-es,description-de,label-de,description-it,label-it,description-fr,label-fr,description-xx,label-xx
ontology_terms,eu_bbmri_eric,,true,,,ontology_terms,Base class for value sets,,,,,,,,,,,,,,,,
age_units,eu_bbmri_eric,eu_bbmri_eric_ontology_terms,false,,,age_units,Age units,,,,,,,,,,,,,,,,
biobank_size,eu_bbmri_eric,,false,,,biobank_size,Biobank sizes,,,,,,,,,,,,,,,,
biobanks,eu_bbmri_eric,,false,,,biobanks,Biobank (or standalone collection) Organization,,,,,,,,,,,,,,,,
body_parts,eu_bbmri_eric,eu_bbmri_eric_ontology_terms,false,,,body_parts,Body parts,,,,,,,,,,,,,,,,
capabilities,eu_bbmri_eric,eu_bbmri_eric_ontology_terms,false,,,capabilities,Capabilities,,,,,,,,,,,,,,,,
collection_types,eu_bbmri_eric,eu_bbmri_eric_ontology_terms,false,,,collection_types,Collection types,,,,,,,,,,,,,,,,
collections,eu_bbmri_eric,,false,,,collections,Biobanks and sample collections,,,,,,,,,,,,,,,,
countries,eu_bbmri_eric,,false,,,countries,Countries,,,,,,,,,,,,,,,,
data_types,eu_bbmri_eric,eu_bbmri_eric_ontology_terms,false,,,data_types,Data categories,,,,,,,,,,,,,,,,
disease_types,eu_bbmri_eric,,false,,,disease_types,Disease types,,,,,,,,,,,,,,,,
image_data_types,eu_bbmri_eric,eu_bbmri_eric_ontology_terms,false,,,image_data_types,Image dataset types,,,,,,,,,,,,,,,,
imaging_modality,eu_bbmri_eric,eu_bbmri_eric_ontology_terms,false,,,imaging_modality,Imaging modalities,,,,,,,,,,,,,,,,
lab_standards,eu_bbmri_eric,eu_bbmri_eric_ontology_terms,false,,,lab_standards,Laboratory Standards,,,,,,,,,,,,,,,,
material_types,eu_bbmri_eric,eu_bbmri_eric_ontology_terms,false,,,material_types,Material types,,,,,,,,,,,,,,,,
networks,eu_bbmri_eric,,false,,,networks,Biobank networks,,,,,,,,,,,,,,,,
ops_standards,eu_bbmri_eric,eu_bbmri_eric_ontology_terms,false,,,ops_standards,Operational Standards,,,,,,,,,,,,,,,,
persons,eu_bbmri_eric,,false,,,persons,Contact Information,,,,,,,,,,,,,,,,
sex_types,eu_bbmri_eric,eu_bbmri_eric_ontology_terms,false,,,sex_types,Sex types,,,,,,,,,,,,,,,,
temp_types,eu_bbmri_eric,eu_bbmri_eric_ontology_terms,false,,,temp_types,Storage temperature types,,,,,,,,,,,,,,,,
