name,code,order,definition,comments,parent,ontologyTermURI
Binary,,,,,,
Categorical,,,,,,
Continuous,,,,,,
Integer,,,,,,
String,,,,,,
Date,,,,,,
Character,,,,,,
categorical,,,,,,
continuous,,,,,,
binary,,,,,,
int,,,,,,
integer,,,,,,
boolean,,,,,,
string,,,,,,
