name,code,order,definition,comments,parent,ontologyTermURI
Female,,,,,,
Male,,,,,,
Pregnant women,,,,,,
Newborns,,,,,,
Mothers and fathers and their infants,,,,,,
Children,,,,,,
Children born with congenital anomalies and their mothers,,,,,,
Mothers,,,,,,
Children born with congenital anomalies,,,,,,
Partners,,,,,,
